Номер;Дебет реки;Электролиты в реке;Температура воды;Цена полимерной добавки;Цена волокнистой добавки;Цена электроэнергии;Цена речной воды;Цена сырья;Цена выброса в атмосферу;Цена слива в реку;Цена коагулянта;Расход промывной воды;Расход речной воды;Расход деминерализованной воды;Допустимо сульфата AL;Расход полимера;Расход волокна;Степень помола;Концентрация при отливе;Скорость;Прочность;Пластичность;Влагопрочность;Загрязнение воды;Загрязнение атмосферы;Затраты на производство
27;12,04639;0,00827;14,41;2,68;1,67;0,064;2,64;49,69;0,56;0,30;0,13;77142,85;11641,21;202,93;0,0500;59,98;119,93;39,99;0,700;150,07;0,96;2,99;31,89;0,7983;0,1492;979,23;
28;12,03992;0,00814;15,11;2,68;1,68;0,063;2,60;48,50;0,55;0,29;0,13;76990,43;11845,06;205,79;0,0500;59,97;119,96;39,98;0,700;150,05;1,01;4,16;31,70;0,8006;0,1490;976,84;
29;12,03914;0,00812;15,66;2,65;1,69;0,062;2,52;50,70;0,54;0,29;0,13;76232,65;12034,45;208,03;0,0500;60,01;119,98;39,98;0,700;149,99;1,07;5,09;31,60;0,7774;0,1485;973,52;
30;12,04358;0,00827;14,99;2,62;1,69;0,062;2,47;52,09;0,53;0,28;0,13;75231,11;12096,59;207,25;0,0500;60,00;119,97;39,99;0,700;149,93;1,01;3,97;31,77;0,7556;0,1476;969,76;
31;12,05267;0,00841;15,57;2,61;1,69;0,062;2,47;47,81;0,54;0,28;0,13;74467,02;12049,02;204,05;0,0500;75,02;149,96;20,00;0,700;149,91;2,24;9,95;11,60;0,7333;0,1770;890,82;
32;12,06574;0,00836;14,49;2,58;1,69;0,063;2,51;47,36;0,56;0,28;0,13;74305,14;12012,81;201,38;0,0500;74,99;150,00;20,00;0,700;149,94;2,80;8,83;10,59;0,7310;0,1789;885,55;
33;12,08207;0,00812;15,32;2,53;1,68;0,065;2,53;49,88;0,58;0,30;0,14;74815,84;12088,62;201,53;0,0500;75,01;150,05;20,00;0,700;150,01;2,37;9,68;11,36;0,7300;0,1789;884,00;
34;12,10086;0,00791;15,30;2,50;1,68;0,066;2,47;48,86;0,56;0,30;0,13;75743,97;12253,73;203,69;0,0500;75,00;150,04;20,00;0,700;150,07;2,39;9,64;11,33;0,7429;0,1789;881,19;
35;12,12131;0,00788;15,65;2,53;1,68;0,068;2,37;50,33;0,53;0,29;0,13;76638,62;12378,09;204,91;0,0500;75,04;149,99;20,01;0,700;150,09;2,19;10,01;11,68;0,7515;0,1794;888,78;
36;12,14259;0,00798;16,18;2,61;1,69;0,069;2,28;52,22;0,53;0,29;0,13;77076,77;12345,28;203,20;0,0500;90,02;30,00;25,00;0,700;150,05;1,86;8,26;13,48;0,7689;0,2039;664,90;
37;12,16389;0,00801;15,13;2,70;1,70;0,069;2,26;48,20;0,56;0,29;0,13;76867,63;12164,83;199,69;0,0500;90,03;30,00;25,00;0,700;149,99;2,25;6,70;12,82;0,7276;0,2151;681,32;
38;12,18441;0,00786;15,50;2,72;1,72;0,068;2,33;47,01;0,56;0,29;0,13;76136,87;11969,79;197,50;0,0500;89,97;30,00;25,00;0,700;149,93;2,12;7,25;13,04;0,7318;0,2131;683,14;
39;12,20342;0,00766;14,24;2,65;1,74;0,067;2,42;49,95;0,55;0,28;0,13;75252,66;11900,55;198,47;0,0500;90,00;30,00;25,00;0,700;149,92;2,55;5,40;12,32;0,7490;0,2150;677,68;
40;12,22024;0,00761;14,74;2,56;1,76;0,066;2,46;49,29;0,54;0,28;0,13;74636,09;11982,25;201,28;0,0500;89,98;30,00;25,00;0,700;149,95;2,38;6,12;12,59;0,7666;0,2147;661,87;
41;12,23427;0,00776;14,75;2,51;1,77;0,066;2,45;50,01;0,56;0,29;0,13;74554,97;12109,08;202,87;0,0500;30,01;60,02;29,99;0,700;150,01;2,63;2,61;11,30;0,7777;0,0997;509,12;
42;12,24500;0,00797;14,79;2,55;1,78;0,066;2,41;52,23;0,56;0,29;0,13;75004,02;12148,77;201,62;0,0500;29,99;60,03;30,00;0,700;150,06;2,62;2,66;11,31;0,7990;0,0838;515,54;
43;12,25204;0,00803;15,43;2,62;1,78;0,067;2,42;48,66;0,54;0,29;0,13;75726,39;12068,19;199,11;0,0500;30,00;60,02;30,01;0,700;150,06;2,41;3,60;11,58;0,7942;0,0831;520,09;
44;12,25511;0,00791;14,30;2,65;1,77;0,068;2,49;46,72;0,53;0,30;0,13;76357,18;11961,87;198,38;0,0500;29,98;60,01;30,01;0,700;150,03;2,77;1,94;11,16;0,7507;0,0808;523,11;
45;12,25403;0,00781;14,79;2,61;1,76;0,069;2,59;49,90;0,54;0,30;0,13;76609,29;11957,27;200,77;0,0500;30,00;60,01;30,01;0,700;149,99;2,62;2,66;11,33;0,7161;0,0788;528,71;
46;12,24879;0,00788;13,83;2,55;1,74;0,069;2,64;49,77;0,56;0,28;0,13;76405,49;12086,95;204,42;0,0500;44,99;90,02;35,01;0,700;149,96;1,87;1,26;19,56;0,6881;0,1066;757,10;
47;12,23946;0,00807;14,41;2,53;1,73;0,069;2,62;49,76;0,56;0,27;0,13;75894,40;12249,20;206,22;0,0500;45,02;89,99;35,02;0,700;149,96;1,76;2,16;19,59;0,6744;0,1086;749,58;
48;12,22625;0,00816;14,89;2,58;1,71;0,067;2,53;52,12;0,55;0,29;0,13;75352,30;12296,00;205,02;0,0500;45,00;89,96;35,02;0,700;149,99;1,66;2,91;19,63;0,6565;0,1081;747,97;
49;12,20951;0,00804;14,97;2,65;1,70;0,066;2,45;49,14;0,54;0,30;0,13;75031,14;12167,18;202,77;0,0500;45,01;89,97;35,01;0,700;150,01;1,65;3,04;19,61;0,6519;0,1080;741,51;
50;12,18968;0,00781;15,95;2,68;1,69;0,065;2,44;46,52;0,54;0,29;0,14;75036,32;11945,87;202,45;0,0500;44,99;89,99;35,00;0,700;150,02;1,43;4,59;19,71;0,6488;0,1081;734,95;
51;12,16729;0,00769;14,93;2,66;1,69;0,064;2,49;49,74;0,54;0,29;0,13;75294,74;11783,60;204,89;0,0500;90,03;59,99;35,00;0,700;150,01;1,72;2,90;23,89;0,6511;0,1945;829,36;
52;12,14299;0,00776;15,49;2,61;1,70;0,064;2,55;50,26;0,55;0,30;0,13;75620,42;11764,84;207,86;0,0500;90,02;59,98;35,00;0,700;150,00;1,64;3,85;23,92;0,6444;0,2078;822,64;
53;12,11746;0,00788;14,73;2,57;1,71;0,065;2,56;49,62;0,57;0,29;0,13;75831,38;11837,00;208,40;0,0500;90,05;59,99;35,00;0,700;150,00;1,75;2,56;23,88;0,6567;0,2082;816,97;
54;12,09148;0,00787;15,11;2,57;1,71;0,066;2,51;51,90;0,57;0,28;0,13;75847,87;11870,11;205,90;0,0500;89,99;60,01;34,99;0,700;150,00;1,70;3,20;23,86;0,6955;0,2101;820,28;
55;12,06584;0,00770;15,70;2,57;1,72;0,068;2,46;49,63;0,54;0,29;0,13;75718,73;11788,15;202,77;0,0500;90,00;60,01;34,99;0,700;150,01;1,61;4,22;23,91;0,7228;0,2114;819,66;
56;12,04134;0,00757;15,42;2,55;1,72;0,069;2,46;46,43;0,52;0,29;0,13;75568,38;11647,20;201,91;0,0500;29,99;89,98;40,01;0,700;150,01;1,54;4,74;30,49;0,7407;0,0970;712,90;
57;12,01882;0,00764;16,25;2,54;1,71;0,070;2,54;49,49;0,53;0,29;0,13;75503,97;11585,74;203,68;0,0500;30,00;89,97;40,01;0,700;150,00;1,67;6,16;30,39;0,7686;0,0819;719,96;
58;11,99905;0,00787;14,97;2,57;1,70;0,070;2,65;50,74;0,57;0,28;0,13;75543,49;11693,31;205,56;0,0500;30,00;89,99;40,00;0,700;149,98;1,47;3,95;30,53;0,7726;0,0816;727,15;
59;11,98279;0,00807;15,17;2,64;1,69;0,069;2,71;49,59;0,57;0,29;0,13;75609,34;11921,03;204,86;0,0500;30,00;90,00;40,00;0,700;149,97;1,50;4,31;30,50;0,7359;0,0798;729,86;
60;11,97074;0,00808;14,38;2,72;1,68;0,068;2,70;51,61;0,55;0,31;0,13;75589,75;12119,04;201,57;0,0500;29,99;89,98;40,01;0,700;149,98;1,42;2,96;30,68;0,7043;0,0780;733,66;
61;11,96351;0,00797;14,39;2,73;1,67;0,068;2,62;50,08;0,53;0,30;0,13;75426,56;12167,20;198,43;0,0500;44,99;119,97;20,00;0,700;150,00;2,53;5,87;7,59;0,6762;0,1060;699,85;
62;11,96163;0,00797;15,06;2,65;1,67;0,068;2,56;46,45;0,55;0,29;0,13;75170,94;12078,19;198,10;0,0500;44,99;120,01;19,99;0,700;150,02;2,17;6,58;8,22;0,6623;0,1081;684,10;
63;11,96552;0,00814;14,57;2,53;1,67;0,069;2,55;49,16;0,56;0,28;0,13;74966,79;11977,90;200,40;0,0500;45,01;120,06;19,99;0,700;150,03;2,43;6,07;7,77;0,6478;0,1078;678,07;
64;11,97549;0,00835;15,44;2,46;1,68;0,070;2,59;51,16;0,55;0,28;0,13;74966,46;11982,91;202,54;0,0500;45,01;120,05;20,00;0,700;150,02;1,95;6,99;8,60;0,6496;0,1077;678,40;
65;11,99171;0,00838;14,29;2,49;1,69;0,072;2,61;49,67;0,54;0,28;0,13;75227,02;12090,68;202,07;0,0500;45,01;120,02;20,00;0,700;150,00;2,59;5,77;7,50;0,6526;0,1080;683,74;
66;12,01423;0,00822;14,53;2,58;1,71;0,073;2,56;51,25;0,55;0,29;0,13;75652,14;12185,58;199,47;0,0500;60,00;150,03;24,99;0,700;149,98;3,92;5,59;9,36;0,6523;0,1377;932,21;
67;12,04296;0,00802;14,17;2,67;1,72;0,073;2,46;50,46;0,56;0,30;0,14;76021,97;12154,22;197,64;0,0500;60,01;150,06;24,99;0,700;149,98;4,07;5,18;9,14;0,6602;0,1409;939,96;
68;12,07769;0,00799;14,24;2,68;1,73;0,072;2,35;46,60;0,55;0,30;0,13;76104,04;12000,36;198,84;0,0500;60,01;150,03;24,99;0,700;149,99;4,04;5,25;9,18;0,6606;0,1415;934,06;
69;12,11805;0,00812;15,34;2,63;1,74;0,071;2,32;48,78;0,54;0,28;0,13;75788,11;11849,86;202,31;0,0500;60,02;149,97;25,00;0,700;150,00;3,57;6,52;9,90;0,6692;0,1420;926,56;
70;12,16358;0,00820;14,97;2,59;1,74;0,069;2,36;51,51;0,54;0,28;0,13;75168,23;11839,24;204,99;0,0500;60,01;149,96;25,00;0,700;150,01;3,73;6,10;9,65;0,6749;0,1427;919,50;
71;12,21367;0,00811;16,02;2,59;1,73;0,068;2,44;49,88;0,55;0,29;0,13;74518,36;11991,16;204,76;0,0500;75,00;30,00;29,99;0,700;150,00;1,61;4,83;16,61;0,6924;0,1685;607,93;
72;12,26763;0,00791;15,07;2,62;1,71;0,067;2,49;50,86;0,55;0,29;0,13;74164,08;12192,86;202,54;0,0500;74,98;30,00;30,00;0,700;150,00;1,87;3,29;16,28;0,6620;0,1784;617,88;
73;12,32465;0,00783;15,22;2,62;1,69;0,066;2,47;50,76;0,55;0,28;0,13;74311,84;12297,88;201,35;0,0500;74,98;30,00;30,01;0,700;150,00;1,83;3,52;16,34;0,6746;0,1770;617,69;
74;12,38387;0,00797;15,08;2,59;1,68;0,066;2,41;46,86;0,56;0,28;0,13;74926,28;12256,20;203,04;0,0500;74,99;30,00;30,01;0,700;150,01;1,87;3,30;16,29;0,6981;0,1788;609,58;
75;12,44436;0,00819;14,89;2,56;1,66;0,067;2,39;48,40;0,56;0,29;0,13;75726,60;12152,02;206,32;0,0500;75,00;30,00;30,00;0,700;150,02;1,92;3,00;16,22;0,7195;0,1787;606,67;
76;12,50515;0,00829;15,98;2,55;1,65;0,068;2,44;51,76;0,53;0,30;0,13;76313,17;12115,45;208,08;0,0500;45,00;150,03;30,00;0,700;150,02;3,48;5,55;11,69;0,7193;0,1257;912,25;
77;12,56525;0,00821;15,34;2,58;1,65;0,068;2,52;50,18;0,52;0,29;0,13;76365,98;12192,73;206,64;0,0500;44,99;149,98;30,00;0,700;149,99;3,72;4,72;11,41;0,7655;0,1131;907,79;
78;12,62367;0,00810;16,07;2,62;1,65;0,067;2,57;50,47;0,55;0,30;0,14;75814,49;12298,35;203,49;0,0500;44,99;149,93;30,00;0,700;149,96;3,45;5,67;11,73;0,7592;0,1133;909,34;
79;12,67946;0,00814;14,99;2,62;1,66;0,066;2,55;50,95;0,58;0,29;0,13;74888,00;12294,95;201,72;0,0500;45,00;149,94;29,99;0,700;149,95;3,85;4,27;11,26;0,7266;0,1117;905,02;
80;12,73168;0,00832;14,71;2,59;1,66;0,065;2,46;47,21;0,57;0,28;0,13;74014,35;12126,12;202,81;0,0500;45,01;149,97;29,99;0,700;149,97;3,94;3,91;11,15;0,6949;0,1112;893,43;
81;12,77948;0,00845;14,60;2,58;1,67;0,064;2,37;48,02;0,54;0,27;0,13;73612,63;11876,85;205,07;0,0500;60,02;29,99;35,01;0,700;150,01;0,27;0,59;23,62;0,6891;0,1362;541,77;
82;12,82206;0,00837;14,11;2,62;1,68;0,063;2,34;51,90;0,52;0,29;0,13;73882,58;11703,58;205,46;0,0500;60,02;29,99;35,01;0,700;150,06;0,34;0,26;23,63;0,6467;0,1445;556,55;
83;12,85875;0,00813;15,23;2,67;1,68;0,063;2,38;50,58;0,54;0,30;0,13;74698,38;11697,82;202,83;0,0500;60,00;29,99;35,01;0,700;150,07;0,17;1,69;23,64;0,6569;0,1429;561,96;
84;12,88897;0,00796;14,56;2,69;1,67;0,064;2,45;50,12;0,56;0,30;0,13;75663,78;11809,58;199,16;0,0500;60,01;30,01;35,01;0,700;150,04;0,28;0,52;23,61;0,6782;0,1441;565,61;
85;12,91227;0,00797;15,25;2,62;1,67;0,066;2,47;51,03;0,56;0,29;0,13;76303,73;11900,86;197,56;0,0500;60,01;30,01;35,02;0,700;149,98;0,17;1,73;23,66;0,6957;0,1438;561,33;
86;12,92832;0,00807;14,47;2,52;1,66;0,067;2,44;47,64;0,55;0,29;0,13;76298,03;11877,86;199,00;0,0500;75,03;60,01;40,02;0,700;149,93;1,93;1,10;35,95;0,6961;0,1742;771,51;
87;12,93694;0,00805;14,19;2,45;1,65;0,068;2,39;47,70;0,55;0,29;0,13;75639,52;11777,52;201,38;0,0500;75,00;60,00;40,01;0,700;149,91;1,91;0,59;35,99;0,7027;0,1767;762,49;
88;12,93810;0,00786;14,54;2,49;1,65;0,069;2,39;51,92;0,55;0,28;0,13;74637,14;11727,37;201,76;0,0500;75,00;60,01;40,00;0,700;149,95;1,91;1,23;35,85;0,6994;0,1774;772,25;
89;12,93190;0,00765;14,18;2,60;1,65;0,068;2,47;51,04;0,54;0,29;0,13;73762,59;11817,68;199,46;0,0500;74,96;60,01;40,00;0,700;150,02;1,91;0,57;35,97;0,7082;0,1778;785,41;
90;12,91859;0,00763;15,61;2,71;1,66;0,067;2,59;49,83;0,54;0,29;0,13;73418,15;12007,39;196,80;0,0500;74,99;60,00;40,01;0,700;150,08;1,97;3,19;35,62;0,7168;0,1786;797,42;
91;12,89855;0,00781;15,17;2,73;1,67;0,066;2,68;50,98;0,56;0,29;0,13;73742,27;12154,02;196,67;0,0500;89,98;89,98;20,00;0,700;150,09;2,24;10,89;11,24;0,7217;0,2094;836,08;
92;12,87230;0,00798;15,86;2,67;1,69;0,065;2,69;48,12;0,56;0,28;0,13;74549,03;12141,04;199,48;0,0500;90,02;90,01;19,99;0,700;150,04;1,89;11,73;11,89;0,7390;0,2121;822,11;
93;12,84047;0,00799;15,34;2,59;1,71;0,065;2,64;47,46;0,55;0,29;0,13;75428,47;11984,42;202,71;0,0500;89,98;90,03;20,00;0,700;149,98;2,15;11,11;11,41;0,7475;0,2128;808,20;
94;12,80378;0,00785;14,88;2,55;1,74;0,065;2,58;51,83;0,54;0,30;0,13;75953,48;11818,67;203,50;0,0500;89,99;90,03;20,00;0,700;149,93;2,38;10,57;11,00;0,7633;0,2133;806,75;
95;12,76307;0,00779;15,37;2,55;1,75;0,066;2,57;51,53;0,55;0,30;0,14;75887,04;11775,36;201,67;0,0500;89,97;90,01;20,00;0,700;149,92;2,14;11,15;11,43;0,7737;0,2141;808,29;
96;12,71922;0,00791;14,79;2,56;1,76;0,067;2,61;49,62;0,56;0,28;0,13;75287,06;11867,11;199,80;0,0500;30,01;120,03;25,00;0,700;149,96;3,68;4,26;6,68;0,7794;0,0990;674,17;
97;12,67318;0,00811;16,04;2,56;1,77;0,067;2,65;50,83;0,54;0,28;0,13;74461,43;11984,46;200,52;0,0500;30,00;120,05;25,00;0,700;150,02;3,08;5,76;7,58;0,7932;0,0834;679,86;
98;12,62593;0,00817;15,43;2,56;1,76;0,067;2,63;48,61;0,53;0,29;0,13;73803,21;12006,80;203,67;0,0500;30,02;120,02;25,01;0,700;150,06;3,39;5,02;7,12;0,7808;0,0827;681,41;
99;12,57846;0,00802;15,68;2,59;1,75;0,067;2,55;47,31;0,56;0,29;0,13;73594,59;11921,58;206,43;0,0500;30,00;119,97;25,01;0,700;150,06;3,26;5,32;7,31;0,7314;0,0806;679,19;
100;12,53175;0,00780;15,11;2,64;1,74;0,065;2,45;51,63;0,58;0,29;0,13;73879,38;11838,56;206,26;0,0500;30,01;119,95;25,00;0,700;150,03;3,54;4,64;6,89;0,6966;0,0786;681,35;
101;12,48674;0,00773;14,25;2,68;1,73;0,064;2,40;52,02;0,56;0,30;0,13;74462,84;11885,16;203,52;0,0500;74,99;89,98;24,99;0,700;149,99;3,48;5,84;10,20;0,6790;0,1630;801,54;
102;12,44435;0,00782;14,75;2,67;1,72;0,063;2,44;49,53;0,53;0,30;0,13;75029,57;12081,30;201,09;0,0500;75,03;89,98;25,00;0,700;149,96;3,30;6,49;10,49;0,6557;0,1750;792,57;
103;12,40539;0,00792;14,02;2,60;1,71;0,062;2,52;50,58;0,52;0,28;0,13;75310,29;12312,15;201,33;0,0500;75,00;89,97;25,00;0,700;149,96;3,56;5,55;10,07;0,6533;0,1746;780,91;
104;12,37063;0,00785;15,21;2,54;1,71;0,062;2,58;49,08;0,55;0,28;0,13;75208,69;12425,84;203,62;0,0500;75,02;89,97;24,99;0,700;149,98;3,12;7,11;10,78;0,6778;0,1759;771,06;
105;12,34070;0,00765;14,75;2,54;1,72;0,063;2,57;47,27;0,57;0,29;0,13;74827,09;12366,24;205,02;0,0500;74,96;90,00;24,98;0,700;150,00;3,29;6,50;10,49;0,6925;0,1768;770,46;
106;12,31614;0,00753;14,92;2,59;1,72;0,064;2,51;51,34;0,56;0,29;0,13;74387,84;12217,80;203,40;0,0500;89,98;120,02;29,99;0,700;150,01;4,14;6,12;14,59;0,6959;0,2081;1008,51;
107;12,29737;0,00763;14,73;2,64;1,73;0,065;2,47;52,47;0,55;0,28;0,13;74102,36;12121,89;199,71;0,0500;89,96;120,00;30,00;0,700;150,01;4,19;5,84;14,53;0,7122;0,2110;1019,39;
108;12,28466;0,00787;13,93;2,64;1,74;0,066;2,49;49,55;0,54;0,28;0,12;74063,35;12143,91;197,04;0,0500;90,02;119,97;29,99;0,700;150,01;4,39;4,73;14,31;0,7235;0,2122;1017,93;
109;12,27816;0,00802;14,81;2,57;1,74;0,067;2,56;50,25;0,54;0,30;0,13;74215,92;12215,90;197,40;0,0500;89,99;119,99;29,99;0,700;150,01;4,17;5,97;14,56;0,7429;0,2127;1010,52;
110;12,27789;0,00798;14,34;2,52;1,73;0,067;2,61;49,51;0,54;0,30;0,13;74414,62;12207,96;199,68;0,0500;90,01;120,01;30,00;0,700;150,01;4,29;5,30;14,42;0,7560;0,2137;1001,06;
111;12,28371;0,00789;15,67;2,53;1,72;0,066;2,59;47,35;0,55;0,29;0,13;74524,48;12059,85;200,85;0,0500;29,99;149,98;35,01;0,700;150,01;2,38;5,14;16,72;0,7636;0,0985;907,06;
112;12,29536;0,00793;15,52;2,62;1,71;0,066;2,49;50,99;0,57;0,29;0,13;74502,05;11847,63;199,17;0,0500;30,00;149,95;35,01;0,700;150,00;2,42;4,93;16,69;0,7809;0,0830;909,41;
113;12,31247;0,00814;15,57;2,70;1,69;0,066;2,38;52,87;0,56;0,29;0,13;74409,31;11720,92;196,08;0,0500;30,00;149,98;35,00;0,700;149,98;2,41;5,00;16,68;0,7751;0,0824;913,94;
114;12,33454;0,00834;15,61;2,72;1,68;0,066;2,32;49,69;0,54;0,28;0,13;74356,78;11768,12;194,66;0,0500;30,02;150,04;35,00;0,700;149,97;2,40;5,05;16,69;0,7322;0,0804;912,60;
