Номер;Дебет реки;Электролиты в реке;Температура воды;Цена полимерной добавки;Цена волокнистой добавки;Цена электроэнергии;Цена речной воды;Цена сырья;Цена выброса в атмосферу;Цена слива в реку;Цена коагулянта;Расход промывной воды;Расход речной воды;Расход деминерализованной воды;Допустимо сульфата AL;Расход полимера;Расход волокна;Степень помола;Концентрация при отливе;Скорость;Прочность;Пластичность;Влагопрочность;Загрязнение воды;Загрязнение атмосферы;Затраты на производство
115;12,36098;0,00835;14,63;2,65;1,67;0,067;2,34;49,87;0,53;0,28;0,13;74416,13;11935,31;196,45;0,0500;30,00;150,06;35,00;0,700;149,98;2,65;3,67;16,57;0,7004;0,0785;916,04;
116;12,39110;0,00817;15,50;2,56;1,67;0,069;2,39;49,86;0,55;0,30;0,13;74560,98;12074,60;199,78;0,0500;45,01;30,01;40,00;0,700;150,00;3,12;2,17;35,48;0,6908;0,1033;498,15;
117;12,42414;0,00801;14,90;2,51;1,67;0,070;2,42;47,55;0,56;0,31;0,13;74676,16;12077,26;201,53;0,0500;44,99;30,01;39,99;0,700;150,02;3,06;1,04;35,56;0,6392;0,1097;502,66;
118;12,45931;0,00804;15,87;2,52;1,68;0,072;2,39;50,60;0,55;0,30;0,13;74632,62;11967,73;200,38;0,0500;45,01;30,01;39,99;0,700;150,03;3,15;2,87;35,38;0,6331;0,1082;509,63;
119;12,49575;0,00817;15,64;2,56;1,70;0,072;2,33;53,17;0,54;0,28;0,13;74382,04;11871,96;198,14;0,0500;45,00;30,01;40,00;0,700;150,02;3,14;2,44;35,46;0,6367;0,1087;517,12;
120;12,53263;0,00822;15,21;2,59;1,71;0,072;2,31;49,94;0,55;0,29;0,13;74009,92;11891,61;197,82;0,0500;45,01;30,00;40,01;0,700;150,00;3,10;1,62;35,57;0,6433;0,1084;514,56;
121;12,56909;0,00808;15,19;2,61;1,73;0,071;2,37;49,48;0,57;0,29;0,13;73707,39;12003,62;200,41;0,0500;59,99;59,99;20,00;0,700;149,98;1,12;7,66;9,28;0,6419;0,1382;606,58;
122;12,60431;0,00788;13,94;2,64;1,74;0,069;2,49;50,12;0,55;0,29;0,13;73669,60;12080,63;203,80;0,0500;59,99;59,99;20,00;0,700;149,97;1,74;6,14;8,17;0,6510;0,1410;608,44;
123;12,63753;0,00783;14,73;2,67;1,74;0,068;2,58;47,86;0,53;0,29;0,13;73975,26;12013,27;204,93;0,0500;59,97;60,00;20,01;0,700;149,99;1,36;7,08;8,85;0,6522;0,1416;608,40;
124;12,66801;0,00799;14,17;2,69;1,74;0,067;2,61;50,22;0,53;0,29;0,13;74518,60;11819,08;203,01;0,0500;60,00;59,99;20,01;0,700;150,01;1,63;6,41;8,37;0,6639;0,1421;610,91;
125;12,69513;0,00820;15,01;2,66;1,74;0,067;2,56;53,37;0,57;0,29;0,12;75041,00;11634,70;200,27;0,0500;59,99;59,99;20,01;0,700;150,02;1,22;7,43;9,11;0,6736;0,1428;608,08;
